order_item_id,order_id,product_id,quantity,unit_price
1,5417,17,1,264.36
2,5784,162,1,412.64
3,617,198,2,475.56
4,3056,238,3,569.4
5,9265,184,4,88.29
6,6229,115,2,573.62
7,6078,239,3,213.83
8,5731,57,1,187.45
9,7581,212,2,533.73
10,3847,41,2,432.3
11,8594,287,3,617.94
12,6447,179,5,765.82
13,7121,127,3,419.81
14,4289,150,3,972.65
15,4218,38,2,314.32
16,6481,292,3,615.87
17,9953,125,5,593.2
18,7388,146,3,283.03
19,4418,210,2,579.17
20,9198,88,3,27.0
21,9721,169,2,232.28
22,9920,245,5,425.93
23,8736,268,2,988.44
24,4418,52,5,859.55
25,131,293,2,166.12
26,2840,59,4,137.8
27,7847,168,4,764.07
28,8497,179,3,900.25
29,6764,190,2,294.19
30,9595,68,3,477.89
31,167,22,2,46.92
32,7092,156,3,285.36
33,2432,115,4,929.61
34,449,73,5,64.06
35,1881,105,3,115.57
36,6447,183,4,339.99
37,6417,98,5,709.91
38,7723,2,3,586.53
39,1293,294,5,940.52
40,1127,134,5,226.22
41,3100,133,3,557.02
42,3626,44,3,402.58
43,8881,282,1,230.59
44,3354,152,3,57.58
45,6675,81,2,198.59
46,4075,100,2,43.15
47,3001,136,3,462.94
48,1766,10,4,215.83
49,7386,297,3,239.67
50,6493,277,4,509.39
51,5142,73,1,42.34
52,6250,299,5,861.75
53,1470,250,1,161.46
54,1056,239,4,890.38
55,616,155,3,196.44
56,958,80,2,843.06
57,6007,25,2,541.2
58,9161,144,2,170.37
59,2969,230,4,396.94
60,2613,102,3,732.53
61,2512,120,2,142.14
62,2203,170,1,144.93
63,1767,111,4,577.88
64,3764,12,2,879.04
65,6690,240,2,205.3
66,2013,220,4,77.04
67,176,225,4,371.55
68,7838,178,4,150.57
69,929,89,3,256.63
70,3451,29,3,645.34
71,2836,119,1,942.15
72,4233,250,5,560.57
73,3552,139,2,242.64
74,8851,152,2,56.2
75,9528,9,4,77.42
76,2672,84,1,459.68
77,6117,30,2,299.75
78,6777,133,4,816.18
79,1665,244,5,467.94
80,4268,212,4,327.9
81,9843,94,1,626.08
82,5895,278,3,59.55
83,7221,79,2,541.45
84,5563,259,4,632.63
85,5189,21,1,188.08
86,5624,198,5,784.12
87,4617,131,4,760.67
88,2416,127,5,727.46
89,3075,232,4,256.61
90,1251,96,5,771.73
91,1409,25,1,138.69
92,8414,22,1,535.61
93,9058,213,2,699.92
94,1212,233,5,59.5
95,7942,150,1,864.32
96,3696,78,1,799.96
97,4126,182,3,112.53
98,1793,253,2,602.2
99,2329,253,1,180.94
100,4093,113,4,750.95
101,2680,11,5,459.86
102,2452,74,3,858.58
103,6175,165,1,381.92
104,6267,99,3,595.19
105,25,277,2,742.64
106,4750,151,2,210.33
107,304,157,3,448.39
108,8178,261,5,842.21
109,5417,7,5,584.31
110,2724,6,3,469.98
111,6186,260,3,617.71
112,5132,98,3,80.66
113,2977,204,4,501.87
114,3428,82,4,638.31
115,6785,120,5,743.67
116,8160,243,3,193.14
117,2622,184,3,796.84
118,6855,42,5,162.07
119,1372,73,4,355.8
120,6044,294,5,142.48
121,4684,60,2,159.4
122,6726,112,1,329.35
123,5206,162,1,160.12
124,7142,126,5,408.2
125,2526,210,4,671.69
126,4861,93,2,828.4
127,1246,172,1,437.15
128,444,283,3,627.27
129,3355,55,3,106.13
130,663,23,2,658.15
131,3678,81,3,578.16
132,1372,91,1,820.73
133,2833,40,2,103.42
134,8379,58,3,751.69
135,7135,279,3,542.94
136,6578,153,4,540.43
137,9550,57,1,112.94
138,9114,276,5,333.45
139,5007,69,1,395.57
140,6362,91,1,52.15
141,8157,227,5,928.79
142,5140,267,5,485.64
143,6353,206,3,778.18
144,6543,160,3,946.27
145,2119,112,1,599.84
146,1832,73,3,661.92
147,2934,39,4,810.58
148,5008,33,2,191.19
149,4145,273,1,291.48
150,1848,145,2,797.88
151,9312,58,4,938.28
152,7316,79,1,476.35
153,9734,143,4,592.25
154,1582,83,5,693.75
155,1817,282,5,701.33
156,7078,217,1,66.44
157,2755,2,4,30.73
158,3223,83,1,15.33
159,8913,203,5,343.29
160,64,165,2,874.24
161,2941,139,1,333.37
162,3850,282,2,887.43
163,9063,83,1,935.96
164,2801,290,4,844.03
165,7391,204,5,71.82
166,2688,235,5,700.53
167,3722,91,4,934.23
168,3389,257,5,993.01
169,3340,110,5,894.03
170,1365,259,4,413.43
171,8886,207,3,638.65
172,1717,127,2,403.67
173,1781,1,4,556.63
174,8288,81,1,197.97
175,9975,79,2,901.07
176,8325,115,1,676.3
177,7555,33,3,898.73
178,325,208,5,482.1
179,1557,23,4,498.08
180,6066,298,4,757.96
181,8819,268,2,16.21
182,4365,127,1,857.74
183,7653,228,1,624.96
184,8244,57,4,125.61
185,6865,297,3,970.24
186,8865,154,5,646.82
187,2920,9,3,664.13
188,6175,189,2,704.48
189,2799,182,4,538.53
190,2267,166,5,831.14
191,8311,290,4,212.1
192,3663,140,2,349.99
193,148,228,4,631.99
194,9492,12,3,887.73
195,7786,74,4,275.44
196,9671,156,5,417.89
197,9406,203,1,766.83
198,64,284,4,31.38
199,8160,131,5,462.71
200,9355,146,5,358.42
201,8341,100,4,283.04
202,4953,58,5,803.96
203,4735,235,4,467.42
204,5626,106,5,944.29
205,8789,274,4,735.75
206,4800,300,1,997.27
207,4752,162,5,37.67
208,2731,264,1,794.41
209,5353,88,4,877.08
210,515,84,1,837.34
211,7516,21,4,148.15
212,9059,32,4,406.21
213,2936,139,1,841.47
214,5875,267,5,835.23
215,9,285,1,772.47
216,3113,22,5,577.4
217,8862,283,3,487.64
218,7762,135,2,622.67
219,6816,122,1,557.8
220,7325,190,1,157.88
221,3488,24,1,56.77
222,6608,53,3,723.0
223,9773,183,5,889.72
224,5857,199,2,27.11
225,4278,290,3,106.12
226,8870,151,2,827.21
227,849,258,4,454.34
228,320,61,4,914.84
229,6791,18,5,477.38
230,3344,219,1,121.87
231,2014,25,3,889.67
232,4844,156,2,278.67
233,9754,23,3,140.21
234,5619,217,4,489.11
235,6568,192,5,903.36
236,633,194,2,307.87
237,2066,60,2,789.52
238,9788,224,3,911.06
239,6971,92,4,145.56
240,2963,64,2,939.55
241,3866,111,5,17.84
242,482,133,3,445.18
243,6371,156,4,314.23
244,5336,191,5,295.69
245,7162,168,5,230.61
246,3798,274,2,105.43
247,8014,42,2,319.41
248,5697,112,2,294.6
249,9764,29,1,174.56
250,6462,66,1,743.61
251,1114,242,2,947.04
252,2346,238,2,923.9
253,4436,275,4,165.48
254,5678,285,5,734.19
255,5264,284,3,715.24
256,9576,157,3,179.26
257,5674,72,2,684.46
258,1895,258,3,110.39
259,1377,230,3,494.36
260,856,271,1,64.19
261,9819,48,1,369.64
262,5035,138,3,453.75
263,5999,110,4,238.02
264,4876,225,3,774.65
265,4847,58,5,734.48
266,9513,154,4,127.89
267,4260,149,5,464.87
268,5462,119,5,211.14
269,497,114,4,515.44
270,3568,216,2,133.56
271,1125,103,1,875.11
272,8539,94,2,827.24
273,8405,243,4,936.98
274,2869,286,5,539.6
275,2853,246,1,359.1
276,158,147,5,480.47
277,5177,33,5,440.45
278,7294,157,3,189.72
279,3485,168,4,333.45
280,8387,26,2,487.8
281,1760,183,1,516.77
282,3081,150,4,688.7
283,8136,45,3,870.66
284,6208,84,4,448.27
285,9648,34,5,810.98
286,6489,70,3,232.24
287,4210,193,5,608.56
288,5595,27,4,269.37
289,9599,15,5,591.67
290,8721,284,1,121.04
291,9461,9,3,484.89
292,5577,84,5,906.86
293,8853,210,1,707.23
294,4711,88,5,297.6
295,8432,265,3,395.96
296,7501,299,3,623.06
297,9193,190,3,443.66
298,9356,179,4,335.31
299,8493,57,5,135.15
300,2351,37,5,60.83
301,7582,276,4,747.74
302,1213,71,5,663.73
303,3073,232,3,533.53
304,5377,298,1,467.5
305,4304,169,5,306.26
306,3377,218,1,792.01
307,2620,268,4,762.94
308,1718,43,4,982.22
309,487,108,2,728.86
310,7118,275,5,507.75
311,9472,126,1,777.61
312,8056,276,5,986.21
313,5515,296,1,282.35
314,372,294,1,888.63
315,7296,240,2,835.06
316,5172,76,5,56.52
317,6930,300,5,862.83
318,6123,46,2,228.8
319,8823,11,3,747.07
320,195,164,4,961.57
321,6465,11,2,135.27
322,3951,300,1,130.64
323,8727,65,1,20.33
324,5037,69,5,984.91
325,3988,219,3,356.07
326,8702,168,1,578.23
327,8230,63,5,799.63
328,1000,70,1,290.57
329,7554,106,3,220.06
330,5624,272,4,78.98
