order_id,customer_id,order_date,status
1,2821,2025-09-29,cancelled
2,522,2025-06-19,pending
3,2986,2025-04-25,completed
4,2876,2025-06-26,shipped
5,1604,2025-08-06,shipped
6,133,2025-06-07,pending
7,2468,2025-10-24,cancelled
8,2505,2026-01-25,pending
9,2620,2025-08-23,shipped
10,427,2025-04-29,processing
11,577,2025-06-10,cancelled
12,319,2025-11-02,pending
13,1421,2026-03-22,cancelled
14,688,2025-09-13,completed
15,2904,2025-08-13,cancelled
16,1830,2025-09-22,completed
17,1087,2025-08-12,pending
18,1023,2026-02-24,completed
19,1436,2026-03-14,cancelled
20,443,2025-06-09,completed
21,198,2025-06-24,processing
22,1795,2025-10-18,processing
23,682,2025-06-06,processing
24,2020,2026-01-26,processing
25,1439,2025-04-15,shipped
26,1538,2025-04-17,completed
27,1964,2025-08-10,shipped
28,2667,2025-11-07,pending
29,667,2025-05-21,processing
30,302,2025-06-25,completed
31,1208,2025-04-15,completed
32,1306,2025-04-20,cancelled
33,429,2025-06-23,completed
34,1401,2025-09-08,pending
35,1538,2025-09-19,pending
36,2999,2026-01-04,completed
37,2241,2025-05-26,completed
38,1385,2026-03-06,shipped
39,2514,2026-01-22,processing
40,2886,2025-08-23,completed
41,1767,2026-02-03,pending
42,2488,2025-09-18,processing
43,644,2025-09-14,completed
44,415,2026-01-20,cancelled
45,842,2025-11-20,pending
46,1677,2025-08-16,shipped
47,2958,2026-02-03,shipped
48,1087,2025-07-11,cancelled
49,1219,2026-01-10,pending
50,393,2025-06-14,completed
51,1610,2025-12-02,shipped
52,2252,2025-06-27,processing
53,630,2025-05-10,completed
54,1478,2026-03-07,completed
55,1752,2026-03-10,completed
56,1207,2026-01-05,shipped
57,1968,2025-10-31,pending
58,398,2025-07-15,completed
59,848,2025-10-06,pending
60,2615,2025-07-06,cancelled
61,336,2025-06-30,processing
62,474,2025-12-29,cancelled
63,1629,2026-03-25,processing
64,2004,2025-05-30,cancelled
65,374,2025-05-28,shipped
66,1588,2025-07-29,pending
67,1520,2025-05-06,processing
68,1514,2026-04-01,pending
69,1826,2025-11-10,completed
70,1079,2026-01-07,processing
71,1905,2026-04-11,cancelled
72,927,2026-01-18,cancelled
73,2312,2025-05-15,completed
74,620,2025-12-29,completed
75,352,2026-03-27,cancelled
76,2218,2025-12-09,processing
77,2416,2025-05-30,pending
78,2268,2025-05-01,completed
79,1586,2025-08-26,shipped
80,1715,2025-09-19,shipped
81,2815,2026-02-26,processing
82,2346,2025-09-09,pending
83,1951,2026-02-09,cancelled
84,324,2025-12-09,processing
85,2926,2025-10-28,completed
86,2057,2026-01-03,shipped
87,2117,2026-03-27,shipped
88,2776,2026-02-09,shipped
89,604,2025-10-02,completed
90,1840,2025-11-30,pending
91,685,2025-10-09,pending
92,790,2026-02-07,pending
93,175,2025-09-10,processing
94,321,2025-11-25,processing
95,828,2026-02-09,pending
96,2438,2026-03-19,cancelled
97,1310,2025-06-17,completed
98,357,2025-07-17,processing
99,2279,2025-08-31,processing
100,2262,2025-12-01,cancelled
101,1132,2025-07-03,shipped
102,1877,2026-02-24,completed
103,2869,2025-09-19,shipped
104,2407,2026-01-24,shipped
105,1719,2025-09-30,completed
106,1698,2025-06-05,pending
107,608,2025-10-13,shipped
108,2409,2026-03-17,shipped
109,411,2025-06-16,completed
110,2305,2025-08-05,completed
111,1172,2025-04-26,shipped
112,1409,2026-03-26,processing
113,1082,2026-01-22,processing
114,2683,2025-08-15,processing
115,2344,2025-09-02,shipped
116,1938,2025-10-23,completed
117,706,2025-12-28,cancelled
118,1651,2026-03-11,pending
119,2533,2026-01-01,shipped
120,2789,2025-06-04,processing
121,159,2025-07-11,processing
122,1358,2025-07-11,pending
123,202,2025-06-19,processing
124,1101,2025-11-07,cancelled
125,83,2026-03-21,cancelled
126,1242,2026-01-26,cancelled
127,1149,2025-05-18,processing
128,2852,2025-05-12,completed
129,934,2026-04-04,pending
130,1231,2025-05-25,processing
131,1315,2025-09-26,cancelled
132,2986,2025-10-16,processing
133,2478,2025-07-07,completed
134,770,2025-08-16,processing
135,866,2025-12-19,processing
136,1985,2025-09-10,shipped
137,1532,2026-03-13,completed
138,2111,2025-11-22,pending
139,269,2025-12-12,cancelled
140,2907,2026-03-03,shipped
141,1653,2026-03-06,pending
142,2148,2025-09-24,shipped
143,119,2025-04-30,pending
144,790,2026-02-06,pending
145,237,2025-07-27,pending
146,136,2025-04-25,processing
147,208,2025-11-27,cancelled
148,2887,2025-07-03,pending
149,1123,2025-06-06,cancelled
150,1902,2025-05-19,shipped
151,1626,2026-04-01,completed
152,2791,2025-11-23,completed
153,991,2025-12-21,cancelled
154,2003,2025-06-16,shipped
155,1828,2025-08-06,pending
156,1944,2026-03-01,shipped
157,2259,2026-01-15,cancelled
