┌───────────────┬──────────┬─────────────┐
│   category    │ unidades │ faturamento │
│    varchar    │  int128  │   double    │
├───────────────┼──────────┼─────────────┤
│ Roupas        │     1646 │   844305.33 │
│ Brinquedos    │     1550 │   790703.14 │
│ Livros        │     1400 │    750998.8 │
│ Alimentos     │     1219 │   651554.95 │
│ Saúde         │     1157 │   609234.19 │
│ Esportes      │     1164 │   591914.96 │
│ Casa e Jardim │     1019 │    511457.0 │
│ Beleza        │     1068 │   506209.67 │
│ Eletrônicos   │      923 │   469358.81 │
│ Automotivo    │      869 │   443595.03 │
├───────────────┴──────────┴─────────────┤
│ 10 rows                      3 columns │
└────────────────────────────────────────┘
