┌────────────┬───────────────┬─────────────┐
│ year_month │ total_pedidos │ faturamento │
│  varchar   │     int64     │   double    │
├────────────┼───────────────┼─────────────┤
│ 2025-04    │           101 │   311261.49 │
│ 2025-05    │           153 │   588561.48 │
│ 2025-06    │           151 │   471655.23 │
│ 2025-07    │           156 │   630822.44 │
│ 2025-08    │           142 │   545408.71 │
│ 2025-09    │           156 │   527506.37 │
│ 2025-10    │           147 │   477283.86 │
│ 2025-11    │           148 │   535979.69 │
│ 2025-12    │           137 │   511921.13 │
│ 2026-01    │           137 │   505706.35 │
│ 2026-02    │           121 │   392583.59 │
│ 2026-03    │           155 │   490315.84 │
│ 2026-04    │            45 │    180325.7 │
├────────────┴───────────────┴─────────────┤
│ 13 rows                        3 columns │
└──────────────────────────────────────────┘
