┌─────────┬───────────────┬─────────────────┐
│  state  │ total_pedidos │ clientes_unicos │
│ varchar │     int64     │      int64      │
├─────────┼───────────────┼─────────────────┤
│ BA      │           205 │             147 │
│ CE      │           196 │             149 │
│ RS      │           181 │             133 │
│ RJ      │           176 │             131 │
│ PR      │           173 │             135 │
│ MG      │           172 │             122 │
│ PE      │           171 │             129 │
│ SC      │           170 │             133 │
│ GO      │           169 │             138 │
│ SP      │           136 │             112 │
├─────────┴───────────────┴─────────────────┤
│ 10 rows                         3 columns │
└───────────────────────────────────────────┘
